country,iso3,disaster_type,alert_level,severity,population,historical_disaster_count,average_deaths,average_affected_population,aid_received_usd,aid_dependency_percent_gni,historical_risk_score,real_time_severity_score,financial_dependency_score,vulnerability_index,estimated_affected_population,estimated_deaths,estimated_required_aid_usd,estimated_impact_level,risk_category,critical_resource_gap,response_recommendation,start_date,end_date
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
"South Of Java, Indonesia",UNK,EQ,Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,20.0,1866.0,9.0,313920.0,Low,Low,No,Continue routine monitoring,2026-03-29T18:46:50,2026-03-29T18:46:50
